1,5,2
1,5,3
1,25,1
1,25,2
1,25,3
1,45,1
1,45,2
1,45,3
1,65,1
1,65,2
1,65,3
1,105,1
1,105,2
1,105,3
1,145,1
1,145,2
1,145,3
1,165,1
1,165,2
1,165,3
1,365,1
1,365,2
1,365,3
1,405,1
1,405,2
1,405,3
1,445,1
1,445,2
1,445,3
1,465,1
1,465,2
1,465,3
1,485,1
1,485,2
1,485,3
1,505,1
1,505,2
1,505,3
1,525,1
1,525,2
1,525,3
1,705,1
1,705,2
1,705,3
1,725,1
1,725,2
1,725,3
1,1045,1
1,1045,2
1,1045,3
1,1125,1
1,1125,2
1,1125,3
1,1165,1
1,1165,2
1,1165,3
1,1225,1
1,1225,2
1,1225,3
1,1245,1
1,1245,2
1,1245,3
1,1265,1
1,1265,2
1,1265,3
1,1305,1
1,1385,1
1,1385,2
1,1385,3
1,1505,1
1,1505,2
1,1505,3
1,1525,1
1,1525,2
1,1525,3
1,1605,1
1,1605,2
1,1605,3
1,1625,1
1,1625,2
1,1625,3
1,1645,1
1,1645,2
1,1645,3
1,1725,1
1,1725,2
1,1725,3
1,1885,1
1,1885,2
1,1885,3
1,1925,1
1,1925,2
1,1925,3
1,1985,1
1,1985,2
1,1985,3
1,2005,1
1,2005,2
1,2005,3
1,2065,1
