2,1,1
2,1,2
2,1,3
2,81,1
2,81,2
2,81,3
2,101,2
2,101,3
2,121,1
2,121,2
2,121,3
2,141,1
2,141,3
2,181,1
2,181,2
2,181,3
2,201,1
2,201,2
2,201,3
2,221,1
2,221,2
2,221,3
2,261,1
2,261,2
2,261,3
2,341,1
2,341,2
2,341,3
2,361,1
2,361,2
2,361,3
2,381,1
2,381,2
2,381,3
2,401,1
2,401,2
2,401,3
2,481,1
2,481,2
2,481,3
2,521,1
2,521,2
2,521,3
2,541,1
2,541,2
2,541,3
2,561,1
2,561,2
2,561,3
2,661,1
2,661,2
2,781,1
2,781,2
2,781,3
2,801,1
2,801,2
2,801,3
2,881,1
2,881,2
2,881,3
2,901,1
2,901,2
2,901,3
2,921,1
2,921,2
2,921,3
2,941,1
2,941,2
2,941,3
2,961,1
2,961,2
2,961,3
2,981,1
2,981,2
2,981,3
2,1001,1
2,1001,2
2,1001,3
2,1021,1
2,1021,2
2,1021,3
2,1041,1
2,1041,2
2,1041,3
2,1061,1
2,1061,2
2,1061,3
2,1101,1
2,1101,2
2,1101,3
2,1121,1
2,1121,2
2,1121,3
2,1161,1
2,1161,2
2,1161,3
2,1181,1
2,1181,2
2,1181,3
2,1221,1
2,1221,2
2,1221,3
2,1341,1
2,1341,2
2,1341,3
2,1861,1
2,1861,2
2,1861,3
2,1881,1
2,1881,2
2,1881,3
2,1901,1
2,1901,2
2,1901,3
